Quantidade de componentes conexas: 1648
Componente 679: tamanho = 10
Componente 680: tamanho = 3
Componente 681: tamanho = 6
Componente 682: tamanho = 3
Componente 683: tamanho = 5
Componente 684: tamanho = 2
Componente 685: tamanho = 5
Componente 686: tamanho = 3
Componente 687: tamanho = 3
Componente 688: tamanho = 3
Componente 689: tamanho = 2
Componente 690: tamanho = 3
Componente 691: tamanho = 3
Componente 692: tamanho = 6
Componente 693: tamanho = 2
Componente 694: tamanho = 3
Componente 695: tamanho = 4
Componente 696: tamanho = 5
Componente 697: tamanho = 7
Componente 698: tamanho = 3
Componente 699: tamanho = 10
Componente 700: tamanho = 2
Componente 701: tamanho = 7
Componente 702: tamanho = 3
Componente 703: tamanho = 11
Componente 704: tamanho = 4
Componente 705: tamanho = 6
Componente 706: tamanho = 5
Componente 707: tamanho = 6
Componente 708: tamanho = 5
Componente 709: tamanho = 2
Componente 710: tamanho = 2
Componente 711: tamanho = 2
Componente 712: tamanho = 2
Componente 713: tamanho = 10
Componente 714: tamanho = 2
Componente 715: tamanho = 4
Componente 716: tamanho = 3
Componente 717: tamanho = 3
Componente 718: tamanho = 8
Componente 719: tamanho = 5
Componente 720: tamanho = 4
Componente 721: tamanho = 5
Componente 722: tamanho = 3
Componente 723: tamanho = 7
Componente 724: tamanho = 5
Componente 725: tamanho = 3
Componente 726: tamanho = 4
Componente 727: tamanho = 3
Componente 728: tamanho = 15
Componente 729: tamanho = 3
Componente 730: tamanho = 7
Componente 731: tamanho = 6
Componente 732: tamanho = 2
Componente 733: tamanho = 4
Componente 734: tamanho = 8
Componente 735: tamanho = 7
Componente 736: tamanho = 2
Componente 737: tamanho = 4
Componente 738: tamanho = 5
Componente 739: tamanho = 2
Componente 740: tamanho = 13
Componente 741: tamanho = 5
Componente 742: tamanho = 10
Componente 743: tamanho = 7
Componente 744: tamanho = 3
Componente 745: tamanho = 2
Componente 746: tamanho = 2
Componente 747: tamanho = 3
Componente 748: tamanho = 6
Componente 749: tamanho = 4
Componente 750: tamanho = 9
Componente 751: tamanho = 12
Componente 752: tamanho = 5
Componente 753: tamanho = 11
Componente 754: tamanho = 2
Componente 755: tamanho = 3
Componente 756: tamanho = 7
Componente 757: tamanho = 8
Componente 758: tamanho = 8
Componente 759: tamanho = 3
Componente 760: tamanho = 4
Componente 761: tamanho = 13
Componente 762: tamanho = 4
Componente 763: tamanho = 6
Componente 764: tamanho = 6
Componente 765: tamanho = 13
Componente 766: tamanho = 8
Componente 767: tamanho = 2
Componente 768: tamanho = 5
Componente 769: tamanho = 3
Componente 770: tamanho = 21
Componente 771: tamanho = 2
Componente 772: tamanho = 4
Componente 773: tamanho = 3
Componente 774: tamanho = 4
Componente 775: tamanho = 17
Componente 776: tamanho = 2
Componente 777: tamanho = 3
Componente 778: tamanho = 8
Componente 779: tamanho = 3
Componente 780: tamanho = 4
Componente 781: tamanho = 3
Componente 782: tamanho = 5
Componente 783: tamanho = 4
Componente 784: tamanho = 3
Componente 785: tamanho = 3
Componente 786: tamanho = 5
Componente 787: tamanho = 5
Componente 788: tamanho = 6
Componente 789: tamanho = 3
Componente 790: tamanho = 3
Componente 791: tamanho = 2
Componente 792: tamanho = 2
Componente 793: tamanho = 9
Componente 794: tamanho = 2
Componente 795: tamanho = 2
Componente 796: tamanho = 4
Componente 797: tamanho = 2
Componente 798: tamanho = 11
Componente 799: tamanho = 2
Componente 800: tamanho = 3
Componente 801: tamanho = 3
Componente 802: tamanho = 4
Componente 803: tamanho = 6
Componente 804: tamanho = 3
Componente 805: tamanho = 4
Componente 806: tamanho = 3
Componente 807: tamanho = 3
Componente 808: tamanho = 2
Componente 809: tamanho = 7
Componente 810: tamanho = 3
Componente 811: tamanho = 2
Componente 812: tamanho = 16
Componente 813: tamanho = 2
Componente 814: tamanho = 4
Componente 815: tamanho = 17
Componente 816: tamanho = 7
Componente 817: tamanho = 4
Componente 818: tamanho = 3
Componente 819: tamanho = 8
Componente 820: tamanho = 3
Componente 821: tamanho = 2
Componente 822: tamanho = 3
Componente 823: tamanho = 15
Componente 824: tamanho = 10
Componente 825: tamanho = 3
Componente 826: tamanho = 4
Componente 827: tamanho = 20
Componente 828: tamanho = 2
Componente 829: tamanho = 3
Componente 830: tamanho = 10
Componente 831: tamanho = 15
Componente 832: tamanho = 5
Componente 833: tamanho = 3
Componente 834: tamanho = 5
Componente 835: tamanho = 2
Componente 836: tamanho = 2
Componente 837: tamanho = 3
Componente 838: tamanho = 3
Componente 839: tamanho = 2
Componente 840: tamanho = 7
Componente 841: tamanho = 4
Componente 842: tamanho = 3
Componente 843: tamanho = 18
Componente 844: tamanho = 8
Componente 845: tamanho = 4
Componente 846: tamanho = 2
Componente 847: tamanho = 12
Componente 848: tamanho = 3
Componente 849: tamanho = 4
Componente 850: tamanho = 4
Componente 851: tamanho = 3
Componente 852: tamanho = 3
Componente 853: tamanho = 2
Componente 854: tamanho = 2
Componente 855: tamanho = 14
Componente 856: tamanho = 11
Componente 857: tamanho = 3
Componente 858: tamanho = 4
Componente 859: tamanho = 6
Componente 860: tamanho = 3
Componente 861: tamanho = 2
Componente 862: tamanho = 4
Componente 863: tamanho = 2
Componente 864: tamanho = 6
Componente 865: tamanho = 11
Componente 866: tamanho = 5
Componente 867: tamanho = 8
Componente 868: tamanho = 6
Componente 869: tamanho = 5
Componente 870: tamanho = 5
Componente 871: tamanho = 14
Componente 872: tamanho = 7
Componente 873: tamanho = 3
Componente 874: tamanho = 6
Componente 875: tamanho = 5
Componente 876: tamanho = 7
Componente 877: tamanho = 5
Componente 878: tamanho = 16
Componente 879: tamanho = 3
Componente 880: tamanho = 9
Componente 881: tamanho = 6
Componente 882: tamanho = 2
Componente 883: tamanho = 4
Componente 884: tamanho = 4
Componente 885: tamanho = 18
Componente 886: tamanho = 7
Componente 887: tamanho = 8
Componente 888: tamanho = 7
Componente 889: tamanho = 7
Componente 890: tamanho = 6
Componente 891: tamanho = 4
Componente 892: tamanho = 8
Componente 893: tamanho = 6
Componente 894: tamanho = 3
Componente 895: tamanho = 6
Componente 896: tamanho = 6
Componente 897: tamanho = 13
Componente 898: tamanho = 17
Componente 899: tamanho = 3
Componente 900: tamanho = 2
Componente 901: tamanho = 3
Componente 902: tamanho = 9
Componente 903: tamanho = 10
Componente 904: tamanho = 2
Componente 905: tamanho = 2
Componente 906: tamanho = 4
Componente 907: tamanho = 3
Componente 908: tamanho = 2
Componente 909: tamanho = 4
Componente 910: tamanho = 5
Componente 911: tamanho = 4
Componente 912: tamanho = 2
Componente 913: tamanho = 10
Componente 914: tamanho = 10
Componente 915: tamanho = 4
Componente 916: tamanho = 15
Componente 917: tamanho = 4
Componente 918: tamanho = 3
Componente 919: tamanho = 5
Componente 920: tamanho = 2
Componente 921: tamanho = 2
Componente 922: tamanho = 2
Componente 923: tamanho = 2
Componente 924: tamanho = 2
Componente 925: tamanho = 2
Componente 926: tamanho = 2
Componente 927: tamanho = 5
Componente 928: tamanho = 12
Componente 929: tamanho = 17
Componente 930: tamanho = 3
Componente 931: tamanho = 2
Componente 932: tamanho = 6
Componente 933: tamanho = 2
Componente 934: tamanho = 2
Componente 935: tamanho = 5
Componente 936: tamanho = 7
Componente 937: tamanho = 2
Componente 938: tamanho = 6
Componente 939: tamanho = 4
Componente 940: tamanho = 4
Componente 941: tamanho = 3
Componente 942: tamanho = 3
